"id_acao,cliente,assessor,diretoria,origem,data_criacao,periodo,objetivo,acao,categoria,prioridade,prazo,status,impacto_esperado,observacoes",cliente,assessor,diretoria,categoria,prioridade,acao,prazo,status,periodo,objetivo,impacto_esperado,observacoes,status_execucao,percentual_conclusao,ultima_atualizacao
"LEKE-V19-7-001,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Maio e Junho,Estabilização operacional,Blindar estoque dos SKUs A.,Estoque,Alta,30 dias,Pendente,Reduzir ruptura e proteger faturamento dos produtos líderes.,PDF indica forte dependência dos SKUs campeões.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-002,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Maio e Junho,Estabilização operacional,Recuperar posicionamento no Mercado Livre.,Marketplace,Alta,30 dias,Pendente,Reforçar estabilidade comercial e reputação.,PDF menciona perda de posicionamento e perda de medalha.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-003,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Maio e Junho,Estabilização operacional,Iniciar mídia paga nos canais prioritários.,Mídia paga,Alta,30 dias,Pendente,Aumentar tráfego qualificado e acelerar faturamento.,""Prioridades citadas: Shopee Ads, Mercado Ads, Meta Ads e Google Shopping.""",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-004,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Maio e Junho,Estabilização operacional,Estruturar acompanhamento diário de BI.,BI,Média,30 dias,Pendente,Melhorar reação operacional e tomada de decisão.,Plano do PDF cita estruturação de BI diário.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-005,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Maio e Junho,Estabilização operacional,Expandir de forma controlada o catálogo campeão.,Catálogo,Média,45 dias,Pendente,Aumentar sortimento sem dispersar foco dos SKUs vencedores.,Recomendação do PDF: aprofundar produtos vencedores.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-006,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Julho e Agosto,Aceleração comercial,Lançar novos kits derivados dos produtos campeões.,Catálogo,Alta,60 dias,Pendente,Aumentar ticket médio e conversão.,PDF recomenda criar derivações dos SKUs campeões.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-007,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Julho e Agosto,Aceleração comercial,Fortalecer branding e presença comercial.,Branding,Média,60 dias,Pendente,Aumentar percepção de marca e recompra.,Plano do PDF cita fortalecimento de branding.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-008,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Julho e Agosto,Aceleração comercial,Criar ações para aumento do ticket médio e recompra.,Comercial,Média,60 dias,Pendente,Elevar receita por pedido e recorrência.,Plano do PDF cita aumento do ticket médio e crescimento da recompra.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-009,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Setembro e Outubro,Preparação Black Friday,Aumentar profundidade de estoque dos produtos vencedores.,Estoque,Alta,90 dias,Pendente,Preparar operação para escala sem ruptura.,PDF cita aumento de profundidade de estoque.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-010,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Setembro e Outubro,Preparação Black Friday,Escalar anúncios e planejar ofertas agressivas.,Performance,Alta,90 dias,Pendente,Aumentar exposição e conversão no período sazonal.,Plano do PDF cita escala de anúncios e planejamento agressivo de ofertas.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-011,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Novembro e Dezembro,Máxima escala de faturamento,Executar campanhas agressivas nos produtos vencedores.,Campanhas,Alta,Até dezembro/2026,Pendente,Aproximar a operação da meta de R$ 100.000/mês.,Meta estratégica do relatório: R$ 100.000/mês até dezembro de 2026.",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
"LEKE-V19-7-012,LEKE MEIAS,JOYCE,Rosieli,Relatório Estratégico Comercial PDF,22/05/2026 17:12:19,Novembro e Dezembro,Máxima escala de faturamento,Priorizar logística para sustentar volume e reputação.,Logística,Alta,Até dezembro/2026,Pendente,Manter reputação e capacidade operacional durante a escala.,""Conclusão do PDF reforça margem, reputação e capacidade logística.""",LEKE MEIAS,JOYCE,Rosieli,Não informado,Média,Não informado,Não informado,Pendente,Não informado,Não informado,Não informado,,PENDENTE,0,22/05/2026 17:49:29
